absolute_humidity_2m:gm3,clear_sky_rad:W,dew_point_2m:C,diffuse_rad:W,diffuse_rad_1h:Ws,direct_rad:W,direct_rad_1h:Ws,dust_0p03um_0p55um:ugm3,dust_0p55um_0p9um:ugm3,dust_0p9um_20um:ugm3,effective_cloud_cover:p,fresh_snow_1h:cm,frost_depth:cm,global_rad:W,global_rad_1h:Ws,high_cloud_cover:p,is_fog_1h:idx,is_rain_1h:idx,is_sleet_1h:idx,is_snow_1h:idx,low_cloud_cover:p,medium_cloud_cover:p,neff:p,pm1:ugm3,pm10:ugm3,pm2p5:ugm3,precip_1h:mm,prob_precip_1h:p,relative_humidity_2m:p,sfc_pressure_mean_1h:hPa,snowdepth:cm,snow_melt_1h:mm,sunrise:sql,sunset:sql,sunshine_duration_1h:min,t_0m:C,t_2m:C,t_max_0m_1h:C,t_mean_0m_1h:C,t_min_0m_1h:C,total_cloud_cover:p,wet_bulb_t_2m:C,wind_dir_10m:d,wind_dir_mean_10m_1h:d,wind_gusts_10m:ms,wind_speed_10m:ms,wind_speed_mean_10m_1h:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms
2.2,0.0,-10.6,0.0,72304.9,0.0,35416.4,0.005,0.035,0.371,12.3,0.0,0.0,0.0,107721.4,0.0,0.0,0.0,0.0,0.0,0.0,12.3,12.3,2.744,4.843,3.278,0.0,1.0,40.5,1004.4,0.3,0.08,2020-04-23 09:54:00,2020-04-23 23:47:00,40.3,1.5,1.3,2.3,1.8,1.4,12.3,-2.3,300.0,300.0,13.5,5.0,5.4,4.3,-2.5
3.2,0.0,-5.4,0.0,58035.3,0.0,101941.8,0.004,0.022,0.322,5.3,0.0,1.0,0.0,159977.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,5.3,3.769,6.488,4.445,0.0,1.0,60.8,1010.9,0.3,0.08,2020-04-24 09:52:00,2020-04-24 23:48:00,47.0,-0.7,1.4,3.4,1.1,-1.2,10.6,-1.0,354.8,349.9,5.8,2.2,2.1,0.2,-2.2
12.2,561.5,14.5,87.6,336841.7,411.4,1763622.7,0.054,0.49,14.047,10.8,0.0,0.0,499.0,2100464.4,21.6,0.0,0.0,0.0,0.0,0.0,0.0,10.8,2.552,10.687,3.595,0.0,1.0,65.0,1021.8,0.0,0.0,2020-04-23 13:21:00,2020-04-24 02:51:00,60.0,23.0,21.4,25.0,23.9,22.8,21.6,17.1,267.1,266.3,9.9,6.9,6.9,6.9,0.4
9.8,564.3,11.4,94.9,346842.6,406.8,1772859.9,0.05,0.452,9.753,36.7,0.0,0.0,501.7,2119702.4,73.4,0.0,0.0,0.0,0.0,0.0,0.0,36.7,3.044,9.966,4.213,0.0,1.0,45.9,1017.6,0.0,0.0,2020-04-24 13:20:00,2020-04-25 02:52:00,60.0,24.9,23.8,26.7,25.7,24.7,73.4,16.3,260.3,258.8,8.3,5.7,5.6,5.6,1.0
4.3,399.0,-0.9,122.3,443779.6,231.4,1155737.2,0.103,0.884,23.009,37.1,0.0,0.0,353.7,1599516.8,72.5,0.0,0.0,0.0,0.0,0.0,1.4,37.1,2.283,13.946,3.577,0.0,1.0,31.9,861.1,4.9,1.65,2020-04-23 12:36:00,2020-04-24 02:13:00,59.2,17.8,15.7,19.3,18.5,17.6,72.5,7.5,15.8,7.3,6.5,4.2,4.7,-1.1,-4.0
5.0,402.3,1.1,115.0,463976.3,189.7,837050.7,0.163,1.337,34.803,46.5,0.0,0.0,304.7,1301027.0,0.0,0.0,0.0,0.0,0.0,1.3,45.8,46.5,1.895,18.444,3.58,0.02,1.0,43.1,858.8,4.6,1.41,2020-04-24 12:35:00,2020-04-25 02:14:00,32.5,15.7,13.3,17.3,16.4,15.5,46.4,7.1,358.5,355.7,7.6,4.6,4.9,0.1,-4.6
10.6,505.1,12.6,84.3,322386.9,375.2,1678320.8,0.318,3.302,21.857,0.0,0.0,0.0,459.5,2000707.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.058,37.876,21.081,0.0,1.0,43.9,1010.8,0.0,0.0,2020-04-23 13:10:00,2020-04-24 02:28:00,60.0,32.2,25.8,35.6,33.7,31.9,0.0,17.6,223.3,231.7,7.0,3.1,3.4,2.1,2.3
10.1,507.5,12.0,86.1,329255.3,370.6,1655995.0,0.745,7.854,34.334,0.0,0.0,0.0,456.7,1985250.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.596,57.143,32.218,0.0,1.0,39.8,1005.3,0.0,0.0,2020-04-24 13:09:00,2020-04-25 02:28:00,60.0,34.1,26.8,37.5,35.6,33.7,0.0,17.6,215.9,213.8,4.7,3.6,3.8,2.1,2.9
6.5,136.2,4.8,48.6,229335.5,87.1,574637.7,0.021,0.184,3.166,0.0,0.0,0.0,135.7,803973.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.945,21.474,14.166,0.0,1.0,52.3,975.2,0.0,0.0,2020-04-23 11:14:00,2020-04-24 01:08:00,60.0,13.4,14.5,16.8,15.0,13.1,0.0,9.5,68.4,76.9,5.4,2.5,2.9,-2.3,-0.9
7.4,139.8,6.7,52.4,271381.8,22.7,105943.8,0.037,0.307,4.007,63.8,0.0,0.0,75.0,377325.7,89.8,0.0,0.0,0.0,0.0,1.4,33.3,63.8,11.3,21.21,13.642,0.02,1.0,62.5,975.5,0.0,0.0,2020-04-24 11:12:00,2020-04-25 01:09:00,40.0,12.9,13.7,15.1,13.9,12.7,93.0,9.9,93.8,61.9,4.8,2.4,2.2,-2.4,0.2
